timestamp,program,ml_course,ir_course,stats_course,db_course,gender,used_chatgpt,birthday,room_estimate,stress_level,sports_hours,random_number,bedtime,good_day_1,good_day_2,est_age_days
2025-01-04 12:17:07,AI,1.0,,mu,1.0,male,1.0,,400.0,78.0,0.0,928393.0,00:00:00,Food,Travel,
2025-01-04 12:17:14,AI,1.0,1.0,sigma,1.0,female,1.0,2002-01-31,321.0,1000.0,2.0,31.416,12:30:00,sun,coffee,8470.0
2025-01-04 12:17:17,Econometrics,1.0,1.0,mu,1.0,male,,,200.0,101.0,4.0,5.0,00:30:00,Zonnetje,Aperol,
2025-01-04 12:17:21,Econometrics,1.0,0.0,mu,0.0,male,1.0,2003-10-17,350.0,60.0,6.0,37.0,23:00:00,Sun,Sun,7846.0
2025-01-04 12:17:24,Bioinformatics,1.0,1.0,mu,1.0,male,1.0,2000-04-19,500.0,50.0,8.0,1.0,01:02:00,-,-,9122.0
2025-01-04 12:17:26,Econometrics,0.0,,mu,0.0,other,,,467.0,99.7,8.0,0.0,05:00:00,Chocolate,Bitterballen,
2025-01-04 12:17:26,Econometrics,0.0,0.0,mu,1.0,female,1.0,1999-10-25,500.0,60.0,4.0,4.0,12:00:00,Sun,Good food,9299.0
2025-01-04 12:17:27,Computer Science,1.0,0.0,sigma,1.0,male,,,400.0,30.0,1.0,6656678.0,00:00:00,good food,good grade,
2025-01-04 12:17:28,AI,0.0,0.0,mu,1.0,female,1.0,2001-01-29,500.0,60.0,3.0,888.0,10:37:00,Sun1,Sun2,8837.0
2025-01-04 12:17:30,Computer Science,0.0,0.0,mu,1.0,other,,,200.0,70.0,1.0,4.204204204204204e+17,02:00:00,Work done good,Then smoke weed,
2025-01-04 12:17:31,AI,1.0,1.0,sigma,1.0,female,1.0,1999-10-19,250.0,100.0,4.0,3.0,23:00:00,Good food ,Nice company ,9305.0
2025-01-04 12:17:31,Computer Science,1.0,1.0,unknown,1.0,male,1.0,1999-01-01,400.0,20.0,4.5,538299000000.0,00:00:00,Pizza,Beers,9596.0
2025-01-04 12:17:35,NPN,1.0,,mu,1.0,male,1.0,,345.0,60.0,8.0,1984.0,23:45:00,Good food,Good sleep ,
2025-01-04 12:17:39,AI,1.0,1.0,mu,1.0,male,0.0,2001-06-15,500.0,50.0,4.0,72.0,09:00:00,Mama’s food,Dad’s card ,8700.0
2025-01-04 12:17:40,Computer Science,1.0,1.0,unknown,1.0,female,0.0,,200.0,70.0,2.0,7.0,,Good work,Good sleep,
2025-01-04 12:17:40,Computer Science,0.0,0.0,mu,1.0,male,1.0,2001-02-27,500.0,1000.0,0.0,94.0,02:00:00,Passing courses,Sleeping,8808.0
2025-01-04 12:17:41,AI,1.0,1.0,sigma,1.0,male,1.0,1982-05-10,400.0,50.0,7.0,13.0,01:00:00,Drugs,More drugs,15676.0
2025-01-04 12:17:43,AI,0.0,0.0,mu,1.0,female,1.0,1998-12-16,400.0,30.0,10.0,28.0,23:30:00,Coffee,Sports,9612.0
2025-01-04 12:17:44,Bioinformatics,1.0,0.0,unknown,,female,1.0,2002-06-23,200.0,1000.0,0.0,9.0,23:16:00,Nothing ,Nothing ,8327.0
2025-01-04 12:17:44,Business,1.0,0.0,sigma,1.0,female,1.0,2000-08-10,200.0,70.0,0.0,8.0,,Passing grade,Credit in balance,9009.0
2025-01-04 12:17:44,AI,1.0,1.0,mu,1.0,male,1.0,2003-12-30,200.0,5.0,12.0,6372.0,01:00:00,Sun,More sun,7772.0
2025-01-04 12:17:46,AI,1.0,1.0,mu,1.0,male,1.0,,500.0,8.0,6.0,27.0,23:00:00, , ,
2025-01-04 12:17:49,AI,1.0,1.0,mu,1.0,male,1.0,,300.0,9999.0,10.0,9999.0,01:00:00,Not having EDDA exam,Freetime,
