Value,Count,Column
AI,68,program
Computer Science,30,program
Econometrics,21,program
Bioinformatics,15,program
computational science,11,program
Business,10,program
security,2,program
msc in finance and technology,1,program
quantitative finance,1,program
master artifical intelligence,1,program
msc international public health,1,program
master artificial inteligence,1,program
duisenberg honours programme in finance and technology,1,program
finance and technology,1,program
biomedical science,1,program
big-data engineering,1,program
humanities research master,1,program
msc finance: finance and technology honoursprogramme,1,program
fintech,1,program
biosb master,1,program
ms finance (finance & technology),1,program
green it,1,program
ba,1,program
mu,121,stats_course
sigma,32,stats_course
unknown,20,stats_course
male,88,gender
female,73,gender
other,7,gender
not willing to answer,5,gender
23:00:00,17,bedtime
00:30:00,16,bedtime
,16,bedtime
23:30:00,14,bedtime
01:00:00,14,bedtime
02:00:00,12,bedtime
04:00:00,7,bedtime
05:00:00,7,bedtime
01:02:00,6,bedtime
01:30:00,6,bedtime
03:00:00,6,bedtime
00:00:00,6,bedtime
22:30:00,3,bedtime
12:00:00,3,bedtime
12:30:00,3,bedtime
02:03:00,2,bedtime
22:00:00,2,bedtime
00:15:00,2,bedtime
23:40:00,1,bedtime
23:57:00,1,bedtime
10:37:00,1,bedtime
09:00:00,1,bedtime
00:45:00,1,bedtime
23:55:00,1,bedtime
01:01:00,1,bedtime
23:45:00,1,bedtime
12:34:00,1,bedtime
12:45:00,1,bedtime
00:40:00,1,bedtime
11:35:00,1,bedtime
21:45:00,1,bedtime
19:00:00,1,bedtime
23:59:00,1,bedtime
23:33:00,1,bedtime
01:23:00,1,bedtime
03:54:00,1,bedtime
00:31:00,1,bedtime
01:03:00,1,bedtime
00:10:00,1,bedtime
01:37:00,1,bedtime
01:22:00,1,bedtime
11:00:00,1,bedtime
11:34:00,1,bedtime
00:33:00,1,bedtime
04:30:00,1,bedtime
22:45:00,1,bedtime
09:30:00,1,bedtime
02:15:00,1,bedtime
21:30:00,1,bedtime
Sun,15,good_day_1
Good food,5,good_day_1
Sports,5,good_day_1
Nice weather,4,good_day_1
Coffee,4,good_day_1
sun,4,good_day_1
Sunny weather,3,good_day_1
Good food ,3,good_day_1
Good weather,3,good_day_1
Sunshine,2,good_day_1
Good Breakfast,2,good_day_1
Food,2,good_day_1
Sleep,2,good_day_1
Good sleep,2,good_day_1
Free time,2,good_day_1
Zonnetje,1,good_day_1
 ,1,good_day_1
Hanging with friends in the sun,1,good_day_1
doing sports,1,good_day_1
Alcohol,1,good_day_1
Yoga,1,good_day_1
Spending time with Marc,1,good_day_1
No school,1,good_day_1
Warm,1,good_day_1
Booking tickets,1,good_day_1
Bubble tea,1,good_day_1
A cold beer,1,good_day_1
Beer ,1,good_day_1
Sunny day,1,good_day_1
dance,1,good_day_1
Sun1,1,good_day_1
Mama’s food,1,good_day_1
Chocolate,1,good_day_1
-,1,good_day_1
Praying 5 times on time,1,good_day_1
"Sun, good food, being productive",1,good_day_1
Az winning,1,good_day_1
Sunny,1,good_day_1
Good meal,1,good_day_1
Happy,1,good_day_1
Get a lot of sleep(at least 8 hours),1,good_day_1
Rain,1,good_day_1
happiness ,1,good_day_1
Doing things I want to do,1,good_day_1
delicious food,1,good_day_1
no responsibilities,1,good_day_1
Travel,1,good_day_1
Not having looking for x ,1,good_day_1
Sunny weather ,1,good_day_1
Sunny day spent with friends ,1,good_day_1
Achivements,1,good_day_1
Got nothing to do,1,good_day_1
Being with someone i love,1,good_day_1
Eating burrata,1,good_day_1
-1,1,good_day_1
Delicious food,1,good_day_1
My boyfriend,1,good_day_1
Cats,1,good_day_1
Sleeping in,1,good_day_1
A beer after a exam,1,good_day_1
money,1,good_day_1
Doggo,1,good_day_1
eating good food,1,good_day_1
Hanging out with friends,1,good_day_1
Good work,1,good_day_1
Passing grade,1,good_day_1
I take the ADHD medicine ,1,good_day_1
