Column,Data Type,Non-Null Count,Missing Count,Unique Values,Min,Max,Mean,Outlier Count (IQR),Example Values
timestamp,datetime64[ns],243,0,5,,,,,"['2025-04-01 12:19:00', '2025-04-01 12:18:00', '2025-04-01 12:17:00']"
program,object,243,0,8,,,,,"['AI', 'Bioinformatics', 'Business']"
ml_course,float64,242,2,2,,,,,"['0.0', '1.0']"
ir_course,float64,220,46,2,,,,,"['0.0', '1.0']"
stats_course,float64,214,58,2,,,,,"['1.0', '0.0']"
db_course,float64,235,16,2,,,,,"['1.0', '0.0']"
gender,object,243,0,3,,,,,"['female', 'male', 'other']"
used_chatgpt,float64,203,80,2,,,,,"['1.0', '0.0']"
birthday,datetime64[ns],68,350,62,,,,,"['2001-04-10 00:00:00', '2002-05-05 00:00:00', '2002-07-10 00:00:00']"
room_estimate,float64,237,12,61,-9999.0,70000.0,670.08017,4.0,"['200.0', '300.0', '280.0']"
stress_level,float64,239,8,64,-10000.0,100000000000000.0,418410042324.11273,10.0,"['20.0', '50.0', '85.0']"
sports_hours,float64,237,12,24,0.0,200.0,7.39916,7.0,"['8.0', '4.0', '7.0']"
random_number,float64,233,20,129,-1.0,1.0100000000000001e+124,4.334763948497854e+121,53.0,"['9.0', '87.0', '93.0']"
bedtime,object,222,42,55,,,,,"['00:00:00', '00:10:00', '00:30:00']"
good_day_1,object,243,0,174,,,,,"['Good sleep', 'Reading', 'That I feel content and happy']"
good_day_2,object,243,0,199,,,,,"['Friends', 'F1', 'Doing something ']"
est_age_days,float64,158,170,147,7313.0,45755.0,9391.79114,7.0,"['8589.0', '8178.0', '8376.0']"
